timestamp,scenario,upf_replicas,smf_replicas,pdu_sessions,pdu_requests,upf_throughput,cpu_smf_mc,cpu_upf_mc
20:30:34,10ues,4.0,1.0,6.0,2.4,908379.733,11.161,5.294
20:30:39,10ues,4.0,1.0,6.0,2.399,908379.733,9.88,5.099
20:30:45,10ues,4.0,1.0,6.0,2.4,922781.067,9.289,4.903
20:30:50,10ues,4.0,1.0,6.0,1.2,922730.667,9.289,4.486
20:30:55,10ues,4.0,1.0,6.0,0.0,922730.667,6.55,4.343
20:31:01,10ues,4.0,1.0,6.0,0.0,2647428.267,6.947,3.581
20:31:06,10ues,4.0,1.0,6.0,0.0,2647484.8,5.531,4.086
20:31:11,10ues,4.0,2.0,6.0,0.0,3024704.133,9.627,4.045
20:31:17,10ues,4.0,2.0,6.0,0.0,3215594.533,6.215,4.045
20:31:22,10ues,4.0,2.0,6.0,0.0,3215541.733,5.703,3.681
20:31:28,10ues,4.0,2.0,6.0,0.0,3173452.133,5.703,2.372
20:31:33,10ues,4.0,2.0,6.0,0.0,3020032.8,4.842,2.705
20:31:38,10ues,4.0,2.0,6.0,0.0,3020029.067,4.279,2.621
20:31:43,10ues,4.0,2.0,6.0,0.0,2470292.533,4.279,2.816
20:31:49,10ues,4.0,2.0,6.0,0.0,2470292.533,4.533,2.581
20:31:54,10ues,4.0,2.0,6.0,0.0,2470292.533,3.858,2.461
20:31:59,10ues,4.0,2.0,6.0,0.0,2278114.667,0.002,2.409
20:32:04,10ues,4.0,2.0,6.0,0.0,2278114.667,0.003,2.365
20:32:10,10ues,4.0,2.0,6.0,0.0,2278114.667,0.003,2.241
20:32:15,10ues,4.0,2.0,6.0,0.0,2452433.867,0.002,2.609
20:32:20,10ues,4.0,2.0,6.0,0.0,2452433.867,0.0,2.29
20:32:26,10ues,4.0,2.0,6.0,0.0,2452433.867,0.001,2.764
20:32:31,10ues,4.0,2.0,6.0,0.0,2202129.2,0.001,2.735
20:32:36,10ues,4.0,2.0,6.0,0.0,2202129.2,0.001,2.882
20:32:42,10ues,4.0,2.0,6.0,0.0,2402908.0,0.001,2.969
20:32:47,10ues,4.0,2.0,6.0,0.0,2525934.667,0.001,2.819
20:32:52,10ues,4.0,2.0,6.0,0.0,2525934.667,0.264,2.438
20:32:58,10ues,4.0,2.0,6.0,0.0,2478624.533,0.487,2.02
20:33:03,10ues,4.0,2.0,6.0,0.0,2381666.0,0.319,2.446
20:33:08,10ues,4.0,2.0,6.0,0.0,2381666.0,0.292,2.387
20:33:14,10ues,4.0,2.0,6.0,0.0,2189280.267,0.323,2.673
20:33:19,10ues,4.0,2.0,6.0,0.0,2189280.267,0.284,2.593
20:33:25,10ues,4.0,2.0,6.0,0.0,2189280.267,0.561,2.47
20:33:30,10ues,4.0,2.0,6.0,0.0,2540459.067,0.347,2.269
